speciesID,group,family,genus,species,scientificName,commonName,decimalLatitude,decimalLongitude,date,status,recordType,freshMarineIntro,waterbody
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.785783,-82.42733,2000-06-08,established,Specimen,Marine,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.90251,-82.43535,2006-09-26,established,Personal communication,Marine,HB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.909789,-82.419691,2017-11-08,established,Personal communication,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.92616,-82.45632,2016-10-31,unknown,Specimen,Freshwater,HB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.93295,-82.4298,2003-04-01,established,Personal communication,Marine,HB
872,Fishes,Poeciliidae,Xiphophorus,maculatus,Xiphophorus maculatus,Southern Platyfish,27.74345,-82.48718,2019-02-19,,Literature,,MTB
2954,Plants,Onagraceae,Ludwigia,peruviana,Ludwigia peruviana,Peruvian primrose-willow,27.86721,-82.49907,2020-06-08,established,Literature,Freshwater,HB
2954,Plants,Onagraceae,Ludwigia,peruviana,Ludwigia peruviana,Peruvian primrose-willow,27.86736,-82.49951,2018-10-10,established,Literature,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.86906,-82.48913,2018-10-04,established,Literature,Freshwater,HB
48,Amphibians,Bufonidae,Rhinella,marina,Rhinella marina,Cane Toad,27.87185,-82.48747,2018-10-07,established,Literature,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.88748,-82.49191,2016-03-12,established,Literature,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.8875,-82.49195,2016-04-30,established,Literature,Freshwater,HB
486,Fishes,Clariidae,Clarias,batrachus,Clarias batrachus,Walking Catfish,27.84455,-82.48309,2013-06-01,established,NAS sighting report,Freshwater,HB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.88036,-82.48192,2011-09-17,established,NAS sighting report,Marine,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.94752,-82.45843,2014-09-19,established,Literature,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.9475216,-82.458427,2004-07-11,established,Literature,Freshwater,HB
61,Amphibians,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus planirostris,Greenhouse Frog,27.93584,-82.45039,2018-07-26,established,Literature,Freshwater,HB
48,Amphibians,Bufonidae,Rhinella,marina,Rhinella marina,Cane Toad,27.93644,-82.45019,2018-07-26,established,Literature,Freshwater,HB
48,Amphibians,Bufonidae,Rhinella,marina,Rhinella marina,Cane Toad,27.93715,-82.45099,2019-07-12,established,Literature,Freshwater,HB
453,Fishes,Cichlidae,Cichlasoma,urophthalma,Cichlasoma urophthalma,Mayan Cichlid,27.93779,-82.45504,2022-05-16,,Literature,,HB
2266,Fishes,Channidae,Channa,aurolineata,Channa aurolineata,Goldline Snakehead,27.95057,-82.45718,2022-06-09,,Literature,,HB
770,Fishes,Loricariidae,Pterygoplichthys,sp.,Pterygoplichthys sp.,sailfin armored catfish,27.95058,-82.45718,2018-10-15,,Literature,,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.95058,-82.45718,2016-09-23,,Literature,,HB
437,Fishes,Cichlidae,Cichla,ocellaris,Cichla ocellaris,Butterfly Peacock Bass,27.95058,-82.45718,2017-07-07,,Literature,,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.95058,-82.45718,2020-05-21,,Literature,,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.7565,-82.41116,2019-06-14,established,Literature,Freshwater,MTB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.77308,-82.40759,2017-07-02,,Literature,,MTB
61,Amphibians,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus planirostris,Greenhouse Frog,27.78612,-82.40332,2019-03-12,established,Literature,Freshwater,HB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.79111,-82.38391,2015-05-09,established,Literature,Freshwater,HB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.79254,-82.40324,2022-12-16,,Literature,,HB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.79277,-82.40315,2022-12-16,,Literature,,HB
2788,Fishes,Cichlidae,Oreochromis,sp.,Oreochromis sp.,tilapia,27.79327,-82.40259,2021-12-29,,Literature,,HB
974,Fishes,Synbranchidae,Monopterus,albus,Monopterus albus,Asian Swamp Eel,27.83753,-82.39676,2008-05-04,established,Literature,Freshwater,HB
863,Fishes,Poeciliidae,Poecilia,reticulata,Poecilia reticulata,Guppy,27.8536365,-82.3825,2005-05-26,collected,Personal communication,Freshwater,HB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.85566,-82.38483,2017-03-08,established,NAS sighting report,Brackish-Freshwater,HB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.85619,-82.38954,2019-12-08,,Literature,,HB
635,Fishes,Cyprinidae,Puntigrus,tetrazona,Puntigrus tetrazona,tiger barb,27.85702,-82.38043,2003-01-09,failed,Specimen,Freshwater,HB
2740,Fishes,Synbranchidae,Monopterus,sp.,Monopterus sp.,jowled swamp eels,27.85884,-82.38656,2019-12-08,established,Literature,Freshwater,HB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.859718,-82.385445,2000-08-02,established,Personal communication,Marine,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.86829,-82.38594,2015-01-17,established,Literature,Freshwater-Brackish,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.86901,-82.38612,2017-02-20,established,Personal communication,Marine,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.87682,-82.38992,2007-06-14,established,Literature,Freshwater,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.87765,-82.39051,2009-08-22,established,Literature,Freshwater,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.87807,-82.39035,2014-08-30,established,Literature,Freshwater-Brackish,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.87815,-82.39041,2014-08-30,,Literature,,HB
457,Fishes,Cichlidae,Hemichromis,letourneuxi,Hemichromis letourneuxi,African Jewelfish,27.87822,-82.39047,2014-09-02,,Literature,,HB
767,Fishes,Loricariidae,Pterygoplichthys,disjunctivus,Pterygoplichthys disjunctivus,Vermiculated Sailfin Catfish,27.8853,-82.4022,2015-08-25,established,NAS sighting report,Brackish-Freshwater,HB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.88806,-82.39697,2016-02-21,established,NAS sighting report,Brackish-Freshwater,HB
